exp_id,model,parameter_name,value,assumed_or_estimated,rationale
EXP-02a,koyck,coefs.covid_index,-2.6029445970981064,estimated,Model fit on observed data
EXP-02a,koyck,coefs.dgs30,0.2130329433163751,estimated,Model fit on observed data
EXP-02a,koyck,coefs.mobility_index,0.12646781872343302,estimated,Model fit on observed data
EXP-02a,koyck,coefs.competitor_ishare,1.9336694015796019,estimated,Model fit on observed data
EXP-02a,koyck,coefs.intercept,6.1118248825948385,estimated,Model fit on observed data
EXP-02b,ardl,model,ardl,estimated,Model fit on observed data
EXP-02b,ardl,ar_order,2,estimated,Model fit on observed data
EXP-02b,ardl,stc_cutoff,6,estimated,Model fit on observed data
EXP-02b,ardl,ltc_degree,2,estimated,Model fit on observed data
EXP-02b,ardl,ltc_max_lag_override.tv,52,estimated,Model fit on observed data
EXP-02b,ardl,ltc_max_lag_override.search,4,estimated,Model fit on observed data
EXP-02b,ardl,ltc_max_lag_override.social,26,estimated,Model fit on observed data
EXP-02b,ardl,ltc_max_lag_override.display,12,estimated,Model fit on observed data
EXP-02b,ardl,ltc_max_lag_override.video,52,estimated,Model fit on observed data
EXP-02b,ardl,coefs.y_lag1,0.12088970306132386,estimated,Model fit on observed data
EXP-02b,ardl,coefs.y_lag2,0.14154385596928987,estimated,Model fit on observed data
EXP-02b,ardl,coefs.tv_stc_lag0,2.168919549017687,estimated,Model fit on observed data
EXP-02b,ardl,coefs.tv_stc_lag1,0.47170053665157863,estimated,Model fit on observed data
EXP-02b,ardl,coefs.tv_stc_lag2,-0.26129000566283067,estimated,Model fit on observed data
EXP-02b,ardl,coefs.tv_stc_lag3,-6.503919352650934,estimated,Model fit on observed data
EXP-02b,ardl,coefs.tv_stc_lag4,2.331482597468325,estimated,Model fit on observed data
EXP-02b,ardl,coefs.tv_stc_lag5,3.988313684775206,estimated,Model fit on observed data
EXP-02b,ardl,coefs.tv_stc_lag6,-1.9953744031340648,estimated,Model fit on observed data
EXP-02b,ardl,coefs.tv_ltc_almon0,6.8788771900858725,estimated,Model fit on observed data
EXP-02b,ardl,coefs.tv_ltc_almon1,-0.36465179574198436,estimated,Model fit on observed data
EXP-02b,ardl,coefs.tv_ltc_almon2,0.006687392993534047,estimated,Model fit on observed data
EXP-02b,ardl,coefs.search_stc_lag0,9.580115676508214,estimated,Model fit on observed data
EXP-02b,ardl,coefs.search_stc_lag1,-3.6720404375859967,estimated,Model fit on observed data
EXP-02b,ardl,coefs.search_stc_lag2,-5.8566393303162565,estimated,Model fit on observed data
EXP-02b,ardl,coefs.search_stc_lag3,5.084052725565337,estimated,Model fit on observed data
EXP-02b,ardl,coefs.search_stc_lag4,-5.0544462859190045,estimated,Model fit on observed data
EXP-02b,ardl,coefs.social_stc_lag0,78.88506163042604,estimated,Model fit on observed data
EXP-02b,ardl,coefs.social_stc_lag1,-6.763245693536118,estimated,Model fit on observed data
EXP-02b,ardl,coefs.social_stc_lag2,-12.93989754103109,estimated,Model fit on observed data
EXP-02b,ardl,coefs.social_stc_lag3,-13.439970601990549,estimated,Model fit on observed data
EXP-02b,ardl,coefs.social_stc_lag4,-5.950269615620279,estimated,Model fit on observed data
EXP-02b,ardl,coefs.social_stc_lag5,-6.987951269125187,estimated,Model fit on observed data
EXP-02b,ardl,coefs.social_stc_lag6,2.857727486861888,estimated,Model fit on observed data
EXP-02b,ardl,coefs.social_ltc_almon0,11.519359102427687,estimated,Model fit on observed data
EXP-02b,ardl,coefs.social_ltc_almon1,-0.8354976807474601,estimated,Model fit on observed data
EXP-02b,ardl,coefs.social_ltc_almon2,0.02687217820237997,estimated,Model fit on observed data
EXP-02b,ardl,coefs.display_stc_lag0,3.050467783996268,estimated,Model fit on observed data
EXP-02b,ardl,coefs.display_stc_lag1,-18.390900592903726,estimated,Model fit on observed data
EXP-02b,ardl,coefs.display_stc_lag2,-6.802581116721129,estimated,Model fit on observed data
EXP-02b,ardl,coefs.display_stc_lag3,-20.34011465787183,estimated,Model fit on observed data
EXP-02b,ardl,coefs.display_stc_lag4,18.407387246095578,estimated,Model fit on observed data
EXP-02b,ardl,coefs.display_stc_lag5,-12.308319645845483,estimated,Model fit on observed data
EXP-02b,ardl,coefs.display_stc_lag6,0.8451465245900529,estimated,Model fit on observed data
